streetname,housenumber,city,zipcode
Sumatrakade,667,AMSTERDAM,1019 PT
Sumatrakade,669,AMSTERDAM,1019 PT
Sumatrakade,671,AMSTERDAM,1019 PT
Sumatrakade,673,AMSTERDAM,1019 PT
Sumatrakade,675,AMSTERDAM,1019 PT
Sumatrakade,677,AMSTERDAM,1019 PT
Sumatrakade,679,AMSTERDAM,1019 PT
Sumatrakade,683,AMSTERDAM,1019 PT
Sumatrakade,685,AMSTERDAM,1019 PT
Sumatrakade,687,AMSTERDAM,1019 PT
Kratontuin,10,AMSTERDAM,1019 PV
Kratontuin,12,AMSTERDAM,1019 PV
Kratontuin,14,AMSTERDAM,1019 PV
Kratontuin,16,AMSTERDAM,1019 PV
Kratontuin,2,AMSTERDAM,1019 PV
Kratontuin,4,AMSTERDAM,1019 PV
Kratontuin,6,AMSTERDAM,1019 PV
Sumatrakade,693,AMSTERDAM,1019 PV
Sumatrakade,695,AMSTERDAM,1019 PV
Sumatrakade,697,AMSTERDAM,1019 PV
Sumatrakade,699,AMSTERDAM,1019 PV
Sumatrakade,703,AMSTERDAM,1019 PV
Sumatrakade,705,AMSTERDAM,1019 PV
Sumatrakade,707,AMSTERDAM,1019 PV
Sumatrakade,709,AMSTERDAM,1019 PV
Sumatrakade,711,AMSTERDAM,1019 PV
Sumatrakade,713,AMSTERDAM,1019 PV
Sumatrakade,715,AMSTERDAM,1019 PV
Sumatrakade,717,AMSTERDAM,1019 PV
Sumatrakade,719,AMSTERDAM,1019 PV
Sumatrakade,721,AMSTERDAM,1019 PV
Sumatrakade,723,AMSTERDAM,1019 PV
Sumatrakade,725,AMSTERDAM,1019 PV
Sumatrakade,727,AMSTERDAM,1019 PV
Sumatrakade,729,AMSTERDAM,1019 PV
Sumatrakade,731,AMSTERDAM,1019 PV
Sumatrakade,733,AMSTERDAM,1019 PV
Kratontuin,8,AMSTERDAM,1019 PV
Javakade,204,AMSTERDAM,1019 RX
Javakade,206,AMSTERDAM,1019 RX
Javakade,208,AMSTERDAM,1019 RX
Javakade,210,AMSTERDAM,1019 RX
Javakade,212,AMSTERDAM,1019 RX
Javakade,214,AMSTERDAM,1019 RX
Javakade,216,AMSTERDAM,1019 RX
Javakade,218,AMSTERDAM,1019 RX
Javakade,220,AMSTERDAM,1019 RX
Javakade,222,AMSTERDAM,1019 RX
Javakade,224,AMSTERDAM,1019 RX
Javakade,226,AMSTERDAM,1019 RX
Javakade,228,AMSTERDAM,1019 RX
Javakade,230,AMSTERDAM,1019 RX
Javakade,232,AMSTERDAM,1019 RX
Javakade,234,AMSTERDAM,1019 RX
Javakade,236,AMSTERDAM,1019 RX
Javakade,238,AMSTERDAM,1019 RX
Javakade,240,AMSTERDAM,1019 RX
Javakade,242,AMSTERDAM,1019 RX
Javakade,244,AMSTERDAM,1019 RX
Javakade,246,AMSTERDAM,1019 RX
Javakade,248,AMSTERDAM,1019 RX
Javakade,250,AMSTERDAM,1019 RX
Javakade,252,AMSTERDAM,1019 RX
Javakade,254,AMSTERDAM,1019 RX
Javakade,256,AMSTERDAM,1019 RX
Javakade,258,AMSTERDAM,1019 RX
Javakade,260,AMSTERDAM,1019 RX
Javakade,262,AMSTERDAM,1019 RX
Javakade,264,AMSTERDAM,1019 RX
Javakade,266,AMSTERDAM,1019 RX
Javakade,268,AMSTERDAM,1019 RX
Javakade,270,AMSTERDAM,1019 RX
Javakade,272,AMSTERDAM,1019 RX
Javakade,274,AMSTERDAM,1019 RX
Javakade,276,AMSTERDAM,1019 RX
Javakade,278,AMSTERDAM,1019 RX
Javakade,280,AMSTERDAM,1019 RX
Javakade,282,AMSTERDAM,1019 RX
Javakade,284,AMSTERDAM,1019 RZ
Javakade,286,AMSTERDAM,1019 RZ
Javakade,288,AMSTERDAM,1019 RZ
Javakade,290,AMSTERDAM,1019 RZ
Javakade,294,AMSTERDAM,1019 RZ
Javakade,296,AMSTERDAM,1019 RZ
Javakade,298,AMSTERDAM,1019 RZ
Javakade,300,AMSTERDAM,1019 RZ
Javakade,302,AMSTERDAM,1019 RZ
Javakade,304,AMSTERDAM,1019 RZ
Javakade,306,AMSTERDAM,1019 RZ
Javakade,308,AMSTERDAM,1019 RZ
Javakade,310,AMSTERDAM,1019 RZ
Javakade,312,AMSTERDAM,1019 RZ
Javakade,314,AMSTERDAM,1019 RZ
Javakade,316,AMSTERDAM,1019 RZ
Javakade,318,AMSTERDAM,1019 RZ
Javakade,320,AMSTERDAM,1019 RZ
Javakade,322,AMSTERDAM,1019 RZ
Javakade,324,AMSTERDAM,1019 RZ
Javakade,326,AMSTERDAM,1019 RZ
Javakade,328,AMSTERDAM,1019 RZ
Javakade,330,AMSTERDAM,1019 RZ
Javakade,332,AMSTERDAM,1019 RZ
Javakade,334,AMSTERDAM,1019 RZ
Javakade,336,AMSTERDAM,1019 RZ
Javakade,338,AMSTERDAM,1019 RZ
Javakade,340,AMSTERDAM,1019 RZ
Javakade,342,AMSTERDAM,1019 RZ
Javakade,344,AMSTERDAM,1019 RZ
Javakade,346,AMSTERDAM,1019 RZ
Javakade,348,AMSTERDAM,1019 RZ
Javakade,350,AMSTERDAM,1019 RZ
Javakade,352,AMSTERDAM,1019 RZ
Javakade,356,AMSTERDAM,1019 RZ
Javakade,358,AMSTERDAM,1019 RZ
Javakade,362,AMSTERDAM,1019 RZ
Zwanenplein,10,AMSTERDAM,1021 CL
Zwanenplein,12,AMSTERDAM,1021 CL
Zwanenplein,14,AMSTERDAM,1021 CL
Zwanenplein,16,AMSTERDAM,1021 CL
Zwanenplein,18,AMSTERDAM,1021 CL
Zwanenplein,2,AMSTERDAM,1021 CL
Zwanenplein,20,AMSTERDAM,1021 CL
Zwanenplein,4,AMSTERDAM,1021 CL
Zwanenplein,6,AMSTERDAM,1021 CL
Zwanenplein,8,AMSTERDAM,1021 CL
Zwanenplein,22,AMSTERDAM,1021 CM
Zwanenplein,24,AMSTERDAM,1021 CM
Zwanenplein,26,AMSTERDAM,1021 CM
Zwanenplein,28,AMSTERDAM,1021 CM
Zwanenplein,30,AMSTERDAM,1021 CM
Zwanenplein,32,AMSTERDAM,1021 CM
Zwanenplein,38,AMSTERDAM,1021 CM
Zwanenplein,40,AMSTERDAM,1021 CM
Zwanenplein,42,AMSTERDAM,1021 CM
Zwanenplein,44,AMSTERDAM,1021 CM
Zwanenplein,46,AMSTERDAM,1021 CM
Zwanenplein,48,AMSTERDAM,1021 CM
Zwanenplein,50,AMSTERDAM,1021 CM
Zwanenplein,52,AMSTERDAM,1021 CM
Zwanenplein,54,AMSTERDAM,1021 CM
Zwanenplein,56,AMSTERDAM,1021 CM
Zwanenplein,60,AMSTERDAM,1021 CM
Zwanenplein,62,AMSTERDAM,1021 CM
Zwanenplein,64,AMSTERDAM,1021 CM
Zwanenplein,66,AMSTERDAM,1021 CM
Zwanenplein,68,AMSTERDAM,1021 CM
Zwanenplein,70,AMSTERDAM,1021 CM
Zwanenplein,72,AMSTERDAM,1021 CM
Havikslaan,42,AMSTERDAM,1021 EL
Havikslaan,44,AMSTERDAM,1021 EL
Havikslaan,46,AMSTERDAM,1021 EL
Havikslaan,46,AMSTERDAM,1021 EL
Sperwerlaan,1,AMSTERDAM,1021 EM
Sperwerlaan,5,AMSTERDAM,1021 EM
Sperwerlaan,7,AMSTERDAM,1021 EM
Nachtegaalstraat,2,AMSTERDAM,1021 GA
Nachtegaalstraat,4,AMSTERDAM,1021 GA
Nachtegaalstraat,6,AMSTERDAM,1021 GA
Nachtegaalstraat,68,AMSTERDAM,1021 GC
Nachtegaalstraat,70,AMSTERDAM,1021 GD
Nachtegaalstraat,72,AMSTERDAM,1021 GD
Nachtegaalstraat,74,AMSTERDAM,1021 GD
Nachtegaalstraat,76,AMSTERDAM,1021 GD
Nachtegaalstraat,78,AMSTERDAM,1021 GD
Nachtegaalstraat,80,AMSTERDAM,1021 GD
Nachtegaalstraat,82,AMSTERDAM,1021 GD
Nachtegaalstraat,84,AMSTERDAM,1021 GD
Nachtegaalstraat,100,AMSTERDAM,1021 GE
Nachtegaalstraat,102,AMSTERDAM,1021 GE
Nachtegaalstraat,104,AMSTERDAM,1021 GE
Nachtegaalstraat,106,AMSTERDAM,1021 GE
Nachtegaalstraat,110,AMSTERDAM,1021 GE
Nachtegaalstraat,112,AMSTERDAM,1021 GE
Nachtegaalstraat,86,AMSTERDAM,1021 GE
Nachtegaalstraat,88,AMSTERDAM,1021 GE
Nachtegaalstraat,90,AMSTERDAM,1021 GE
Leeuwerikstraat,16,AMSTERDAM,1021 GL
Leeuwerikstraat,16,AMSTERDAM,1021 GL
Leeuwerikstraat,18,AMSTERDAM,1021 GL
Leeuwerikstraat,20,AMSTERDAM,1021 GL
Leeuwerikstraat,22,AMSTERDAM,1021 GL
Leeuwerikstraat,22,AMSTERDAM,1021 GL
Leeuwerikstraat,24,AMSTERDAM,1021 GL
Leeuwerikstraat,26,AMSTERDAM,1021 GL
Leeuwerikstraat,26,AMSTERDAM,1021 GL
Leeuwerikstraat,28,AMSTERDAM,1021 GM
Leeuwerikstraat,30,AMSTERDAM,1021 GM
Leeuwerikstraat,32,AMSTERDAM,1021 GM
Leeuwerikstraat,32,AMSTERDAM,1021 GM
Leeuwerikstraat,34,AMSTERDAM,1021 GM
Leeuwerikstraat,36,AMSTERDAM,1021 GM
Leeuwerikstraat,38,AMSTERDAM,1021 GM
Leeuwerikstraat,38,AMSTERDAM,1021 GM
Leeuwerikstraat,40,AMSTERDAM,1021 GM
Leeuwerikstraat,40,AMSTERDAM,1021 GM
Leeuwerikstraat,42,AMSTERDAM,1021 GM
Leeuwerikstraat,44,AMSTERDAM,1021 GM
Leeuwerikstraat,44,AMSTERDAM,1021 GM
Leeuwerikstraat,46,AMSTERDAM,1021 GM
Leeuwerikstraat,46,AMSTERDAM,1021 GM
Leeuwerikstraat,48,AMSTERDAM,1021 GM
Leeuwerikstraat,50,AMSTERDAM,1021 GM
Leeuwerikstraat,50,AMSTERDAM,1021 GM
Leeuwerikstraat,58,AMSTERDAM,1021 GN
Leeuwerikstraat,58,AMSTERDAM,1021 GN
Leeuwerikstraat,60,AMSTERDAM,1021 GN
Leeuwerikstraat,62,AMSTERDAM,1021 GN
Leeuwerikstraat,62,AMSTERDAM,1021 GN
Leeuwerikstraat,68,AMSTERDAM,1021 GN
Leeuwerikstraat,68,AMSTERDAM,1021 GN
Leeuwerikstraat,70,AMSTERDAM,1021 GP
Leeuwerikstraat,72,AMSTERDAM,1021 GP
Leeuwerikstraat,72,AMSTERDAM,1021 GP
Spreeuwenpark,7,AMSTERDAM,1021 GS
Spreeuwenpark,7,AMSTERDAM,1021 GS
Spreeuwenpark,7,AMSTERDAM,1021 GS
Spreeuwenpark,15,AMSTERDAM,1021 GS
Spreeuwenpark,15,AMSTERDAM,1021 GS
Spreeuwenpark,55,AMSTERDAM,1021 GV
Spreeuwenpark,57,AMSTERDAM,1021 GV
Spreeuwenpark,59,AMSTERDAM,1021 GV
Spreeuwenpark,61,AMSTERDAM,1021 GV
Spreeuwenpark,63,AMSTERDAM,1021 GV
Spreeuwenpark,65,AMSTERDAM,1021 GV
Spreeuwenpark,67,AMSTERDAM,1021 GV
Spreeuwenpark,69,AMSTERDAM,1021 GV
Spreeuwenpark,71,AMSTERDAM,1021 GV
Spreeuwenpark,73,AMSTERDAM,1021 GV
Spreeuwenpark,75,AMSTERDAM,1021 GV
Spreeuwenpark,79,AMSTERDAM,1021 GV
Spreeuwenpark,81,AMSTERDAM,1021 GV
Spreeuwenpark,2,AMSTERDAM,1021 GW
Spreeuwenpark,2,AMSTERDAM,1021 GW
Spreeuwenpark,4,AMSTERDAM,1021 GW
Spreeuwenpark,4,AMSTERDAM,1021 GW
Spreeuwenpark,6,AMSTERDAM,1021 GW
Spreeuwenpark,6,AMSTERDAM,1021 GW
Ooievaarsweg,2,AMSTERDAM,1021 GZ
Ooievaarsweg,2,AMSTERDAM,1021 GZ
Ooievaarsweg,2,AMSTERDAM,1021 GZ
Ooievaarsweg,4,AMSTERDAM,1021 GZ
Ooievaarsweg,4,AMSTERDAM,1021 GZ
Ooievaarsweg,4,AMSTERDAM,1021 GZ
Ooievaarsweg,8,AMSTERDAM,1021 GZ
Reigerweg,13,AMSTERDAM,1021 HC
Reigerweg,15,AMSTERDAM,1021 HC
Meeuwenlaan,43,AMSTERDAM,1021 HS
Meeuwenlaan,43,AMSTERDAM,1021 HS
Meeuwenlaan,45,AMSTERDAM,1021 HS
Meeuwenlaan,45,AMSTERDAM,1021 HS
Meeuwenlaan,45,AMSTERDAM,1021 HS
Meeuwenlaan,47,AMSTERDAM,1021 HT
Meeuwenlaan,47,AMSTERDAM,1021 HT
Meeuwenlaan,49,AMSTERDAM,1021 HT
Meeuwenlaan,49,AMSTERDAM,1021 HT
Meeuwenlaan,49,AMSTERDAM,1021 HT
Meeuwenlaan,51,AMSTERDAM,1021 HT
Meeuwenlaan,51,AMSTERDAM,1021 HT
Meeuwenlaan,51,AMSTERDAM,1021 HT
Meeuwenlaan,53,AMSTERDAM,1021 HT
Meeuwenlaan,53,AMSTERDAM,1021 HT
Meeuwenlaan,53,AMSTERDAM,1021 HT
Meeuwenlaan,55,AMSTERDAM,1021 HT
Meeuwenlaan,55,AMSTERDAM,1021 HT
Meeuwenlaan,55,AMSTERDAM,1021 HT
Meeuwenlaan,57,AMSTERDAM,1021 HT
Meeuwenlaan,57,AMSTERDAM,1021 HT
Meeuwenlaan,57,AMSTERDAM,1021 HT
Meeuwenlaan,111,AMSTERDAM,1021 HX
Meeuwenlaan,111,AMSTERDAM,1021 HX
Meeuwenlaan,113,AMSTERDAM,1021 HX
Meeuwenlaan,115,AMSTERDAM,1021 HZ
Meeuwenlaan,117,AMSTERDAM,1021 HZ
Meeuwenlaan,117,AMSTERDAM,1021 HZ
Meeuwenlaan,119,AMSTERDAM,1021 HZ
Meeuwenlaan,121,AMSTERDAM,1021 HZ
Meeuwenlaan,121,AMSTERDAM,1021 HZ
Meeuwenlaan,123,AMSTERDAM,1021 HZ
Meeuwenlaan,125,AMSTERDAM,1021 HZ
Meeuwenlaan,127,AMSTERDAM,1021 HZ
Meeuwenlaan,127,AMSTERDAM,1021 HZ
Meeuwenlaan,129,AMSTERDAM,1021 HZ
Meeuwenlaan,131,AMSTERDAM,1021 JA
Meeuwenlaan,135,AMSTERDAM,1021 JA
Meeuwenlaan,135,AMSTERDAM,1021 JA
Meeuwenlaan,139,AMSTERDAM,1021 JA
Meeuwenlaan,139,AMSTERDAM,1021 JA
Meeuwenlaan,141,AMSTERDAM,1021 JA
Meeuwenlaan,141,AMSTERDAM,1021 JA
Meeuwenlaan,143,AMSTERDAM,1021 JA
IJplein,10,AMSTERDAM,1021 LL
IJplein,12,AMSTERDAM,1021 LL
IJplein,14,AMSTERDAM,1021 LL
IJplein,16,AMSTERDAM,1021 LL
IJplein,18,AMSTERDAM,1021 LL
IJplein,20,AMSTERDAM,1021 LL
IJplein,22,AMSTERDAM,1021 LL
IJplein,26,AMSTERDAM,1021 LL
IJplein,28,AMSTERDAM,1021 LL
IJplein,30,AMSTERDAM,1021 LL
IJplein,32,AMSTERDAM,1021 LL
IJplein,34,AMSTERDAM,1021 LL
IJplein,36,AMSTERDAM,1021 LL
IJplein,38,AMSTERDAM,1021 LL
IJplein,4,AMSTERDAM,1021 LL
IJplein,40,AMSTERDAM,1021 LL
IJplein,42,AMSTERDAM,1021 LL
IJplein,44,AMSTERDAM,1021 LL
IJplein,46,AMSTERDAM,1021 LL
IJplein,48,AMSTERDAM,1021 LL
IJplein,6,AMSTERDAM,1021 LL
IJplein,8,AMSTERDAM,1021 LL
IJplein,100,AMSTERDAM,1021 LM
IJplein,102,AMSTERDAM,1021 LM
IJplein,104,AMSTERDAM,1021 LM
IJplein,106,AMSTERDAM,1021 LM
IJplein,108,AMSTERDAM,1021 LM
IJplein,50,AMSTERDAM,1021 LM
IJplein,52,AMSTERDAM,1021 LM
IJplein,54,AMSTERDAM,1021 LM
IJplein,56,AMSTERDAM,1021 LM
IJplein,58,AMSTERDAM,1021 LM
IJplein,60,AMSTERDAM,1021 LM
IJplein,62,AMSTERDAM,1021 LM
IJplein,64,AMSTERDAM,1021 LM
IJplein,66,AMSTERDAM,1021 LM
IJplein,68,AMSTERDAM,1021 LM
IJplein,70,AMSTERDAM,1021 LM
IJplein,72,AMSTERDAM,1021 LM
IJplein,74,AMSTERDAM,1021 LM
IJplein,76,AMSTERDAM,1021 LM
IJplein,78,AMSTERDAM,1021 LM
IJplein,80,AMSTERDAM,1021 LM
IJplein,82,AMSTERDAM,1021 LM
IJplein,84,AMSTERDAM,1021 LM
IJplein,86,AMSTERDAM,1021 LM
IJplein,88,AMSTERDAM,1021 LM
IJplein,90,AMSTERDAM,1021 LM
IJplein,92,AMSTERDAM,1021 LM
IJplein,94,AMSTERDAM,1021 LM
IJplein,96,AMSTERDAM,1021 LM
IJplein,98,AMSTERDAM,1021 LM
IJplein,110,AMSTERDAM,1021 LN
IJplein,114,AMSTERDAM,1021 LN
IJplein,116,AMSTERDAM,1021 LN
IJplein,118,AMSTERDAM,1021 LN
IJplein,120,AMSTERDAM,1021 LN
IJplein,122,AMSTERDAM,1021 LN
IJplein,124,AMSTERDAM,1021 LN
IJplein,126,AMSTERDAM,1021 LN
IJplein,128,AMSTERDAM,1021 LN
IJplein,130,AMSTERDAM,1021 LN
IJplein,132,AMSTERDAM,1021 LN
IJplein,134,AMSTERDAM,1021 LN
IJplein,136,AMSTERDAM,1021 LN
IJplein,138,AMSTERDAM,1021 LN
IJplein,140,AMSTERDAM,1021 LN
IJplein,142,AMSTERDAM,1021 LN
IJplein,144,AMSTERDAM,1021 LN
IJplein,146,AMSTERDAM,1021 LN
IJplein,148,AMSTERDAM,1021 LN
IJplein,150,AMSTERDAM,1021 LN
IJplein,152,AMSTERDAM,1021 LN
IJplein,154,AMSTERDAM,1021 LN
IJplein,156,AMSTERDAM,1021 LN
IJplein,158,AMSTERDAM,1021 LN
IJplein,160,AMSTERDAM,1021 LN
IJplein,162,AMSTERDAM,1021 LN
IJplein,166,AMSTERDAM,1021 LN
IJplein,168,AMSTERDAM,1021 LN
IJplein,170,AMSTERDAM,1021 LP
IJplein,172,AMSTERDAM,1021 LP
IJplein,174,AMSTERDAM,1021 LP
IJplein,176,AMSTERDAM,1021 LP
IJplein,178,AMSTERDAM,1021 LP
IJplein,180,AMSTERDAM,1021 LP
IJplein,182,AMSTERDAM,1021 LP
IJplein,184,AMSTERDAM,1021 LP
IJplein,186,AMSTERDAM,1021 LP
IJplein,188,AMSTERDAM,1021 LP
IJplein,190,AMSTERDAM,1021 LP
IJplein,192,AMSTERDAM,1021 LP
IJplein,194,AMSTERDAM,1021 LP
IJplein,196,AMSTERDAM,1021 LP
IJplein,198,AMSTERDAM,1021 LP
IJplein,200,AMSTERDAM,1021 LP
IJplein,202,AMSTERDAM,1021 LP
IJplein,204,AMSTERDAM,1021 LP
IJplein,206,AMSTERDAM,1021 LP
IJplein,208,AMSTERDAM,1021 LP
IJplein,210,AMSTERDAM,1021 LP
IJplein,212,AMSTERDAM,1021 LP
IJplein,214,AMSTERDAM,1021 LP
IJplein,216,AMSTERDAM,1021 LP
IJplein,218,AMSTERDAM,1021 LP
IJplein,220,AMSTERDAM,1021 LP
IJplein,222,AMSTERDAM,1021 LP
IJplein,350,AMSTERDAM,1021 LV
IJplein,352,AMSTERDAM,1021 LV
IJplein,354,AMSTERDAM,1021 LV
IJplein,356,AMSTERDAM,1021 LV
IJplein,358,AMSTERDAM,1021 LV
IJplein,360,AMSTERDAM,1021 LV
IJplein,362,AMSTERDAM,1021 LV
